dolgozott	d o l ɡ o z o t
indul	í n d u l
me	m e
nyitott	ɲ i t o t
töltött	t ø l t ø t
esik	e s i k
központ	k ø z p o n t
közösségi	k ø z ø s s eː ɡ i
látott	l áː t o t
nyilván	ɲ i l v á n
fent	f ɛ n t
tartalmaz	t a r t a l m a z
bent	b ɛ n t
döntött	d ø n t ø t
kislány	k i s l áː n y
különös	k y l ø n ø s
lehetnek	l e h e t n e k
kör	k ø r
senkinek	s e n k i n e k
fény	f e n i
kapcsolatot	k a p t͡ʃ s o l a t o t
közösen	k ø z ø s e n
it	i t
kötött	k ø t ø t
köztük	k ø z t y k
mark	m a r k
ukrán	u k r á n
örök	ø r ø k
iránt	i r á n t
képesek	k e p e s e k
közvetlen	k ø z v e t l e n
nyerte	ɲ é r t e
lehetetlen	l e h e t e t l e n
falu	f á l u
segített	s e ɡ i t e t
ügy	y ɡ y
dalt	d a l t
körülbelül	k ø r y l b e l y l
okozott	o k o z o t
földön	f ø l d ø n
pályán	p á l j á n
tök	t ø k
vi	ʋ i
bármi	b á r m ìː
hétvégén	h e t v e ɡ e n
nézzétek	n e z z e t e k
éva	eː v a
függ	f y ɡ
ill	i l
következik	k ø v e t k e z i k
pro	p r oː
ötödik	ø t ø d i k
from	f r o m
legmagasabb	l e ɡ m a ɡ a s a b
adtak	a d t a k
fizetni	f i z e t n i
jövök	j ø v ø k
man	m a n
világos	ʋ i l áː ɡ o s
házat	h á z à t
küldött	k y l d ø t
tartalmazza	t a r t a l m a z z a
bálint	b áː l i n t
katalin	k a t a l î n
tartanak	t a r t a n a k
vii	ʋ iː
alkalmazott	a l k a l m a z o t
bp	b eː p eː
események	e s e m e ɲ e k
ezüst	e z y s t
görög	ɡ ø r ø ɡ
nézek	n e z e k
an	a n
fölött	f ø l ø t
látok	l áː t o k
pesti	p é s t i
kapcsán	k a p t͡ʃ s á n
körüli	k ø r y l i
pontot	p ó n t o t
páros	p áː r o s
am	a m
üzlet	y z l e t
fiatalok	f i a t a l o k
kutatók	k u t a t ó k
tettek	t e t t e k
vették	v e t t e k
föl	f ø l
levelet	l e v e l e t
fi	f i
földi	f ø l d i
kim	k i m
külföldön	k y l f ø l d ø n
sült	s y l t
hit	h i t
legyenek	l e ɡ j e n e k
regionális	r e ɡ i o n áː l i s
területi	t e r y l e t i
unió	u n i óː
do	d oː
ezeknek	e z e k n e k
tartotta	t a r t o t t a
hölgy	h ø l ɡ y
matt	m a t
part	p a r t
st	s t
sérült	s e ɾ y l t
mért	m e r t
dolgoznak	d o l ɡ o z n a k
felirat	f e l i r aː t
közülük	k ø z y l y k
egymáshoz	e ɡ y m áː ʃ o z
kapcsolatok	k a p t͡ʃ s o l a t o k
sir	s i r
elégedett	e l e ɡ e d e t
est	e s t
free	f r eː
hagy	h á ɡ y
hagyott	h á ɡ j o t
kar	k a r
nyújtott	ɲ uː j t o t
öröm	ø r ø m
hagyd	h á ɡ y d
megérkezett	m e ɡ e r k e z e t
un	u n
demokratikus	d e m o k r a t i k u s
ep	e p
politika	p o l i t i k a
finn	f i n
közölte	k ø z ø l t e
nevezett	n e v e z e t
parkban	p a r k b a n
us	u s
dan	d a n
döntést	d ø n t e s t
iránti	i r á n t i
ix	i k s
lefelé	l e f e l e
microsoft	m i k r o s o f t
xi	x i
del	d æ l
fülöp	f y l ø p
hot	h o t
or	o r
papp	p a p
pop	p o p
önt	ø n t
nyomás	ɲ o m á s
puha	p u h áː
tartoznak	t a r t o z n a k
hírt	h i r t
konyha	k ó n j h áː
köze	k øː z e
németek	n e m e t e k
sört	s ø r t
határozottan	h a t áː r o z o t t a n
településen	t e l e p y l eː s e n
vitamin	v i t a m i n
örökre	ø r ø k r e
band	b â n d
ek	e k
fok	f o k
tartottak	t a r t o t t a k
egyesek	e ɡ j e s e k
fizika	f i z i k a
dj	d ʒ
fut	f u t
közlekedik	k ø z l e k e d i k
számban	ʃ á m b à n
sör	s øː r
eközben	e k ø z b e n
kapu	k á p ù
sam	s a m
büdös	b y d ø s
di	d i
dolgoztak	d o l ɡ o z t a k
fizetett	f i z e t e t
piacon	p i a t͡ʃ ó n
politikusok	p o l i t i k u s o k
si	s i
west	w e s t
elemek	e l e m e k
hiszek	h i s z e k
közti	k ø z t i
latin	l á t i n
soros	s óː r o s
dönt	d ø n t
feladatok	f e l a d a t o k
kritika	k r i t i k a
mail	m a i l
tartalma	t a r t a l m a
ült	y l t
dobd	d o b d
foglalt	f o ɡ l a l t
green	ɡ r eː n
matematika	m a t e m a t i k a
náluk	n áː l u k
technika	t e t͡ʃ n i k a
uk	u k
we	w e
épületek	e p y l e t e k
he	h e
küld	k y l d
tölti	t ø l t i
hidd	h i d
hozták	h o z t á k
kedd	k ɛ d
stílusban	s t iː l u s b a n
will	w i l
határozott	h a t áː r o z o t
kapcsolata	k a p t͡ʃ s o l a t a
vélemény	v e l e m e n i
fenti	f é n t i
foglalkozott	f o ɡ l a l k o z o t
hagyomány	h á ɡ j o m áː n y
királyt	k i r áː l yː t
kutatások	k u t a t áː s o k
tok	t o k
full	f u l
helyzetbe	h e l y z e t b e
királyság	k i r áː l y s á ɡ
következett	k ø v e t k e z e t
mar	m a r
történtek	t ø r t e n t e k
zsír	z s iː r
biztosított	b i z t o s i t o t
cikkek	t͡ʃ í k k è k
nukleáris	n u k l e áː r i s
tudósok	t u d óː s o k
vetett	v e t e t
war	w a r
hazafelé	h a z a f e l e
menekültek	m e n e k y l t e k
sír	s iː r
tartottam	t a r t o t t a m
félnek	f e l n e k
kormányt	k o r m áː n y t
letöltés	l e t ø l t e s
futott	f u t o t
hill	h i l
közeledik	k ø z e l e d i k
levelek	l e v e l e k
start	s t a r t
hányan	h á n j á n
kidolgozott	k i d o l ɡ o z o t
néznek	n e z n e k
püspök	p y s p ø k
önök	ø n ø k
ülök	y l ø k
egyikük	e ɡ j i k y k
ho	h oː
hívott	h iː v o t
post	p o s t
tizenkét	t i z e n k e t
tizenöt	t i z e n ø t
süti	s y t i
tartozott	t a r t o z o t
tükör	t y k ø r
good	ɡ oː d
li	l i
ni	n i
rögzített	r ø ɡ z i t e t
séta	s e t a
ütött	y t ø t
cikke	t͡ʃ í k k è
kezdet	k é z d e t
kiló	k i l óː
költözött	k ø l t ø z ø t
köt	k ø t
lények	l e ɲ e k
megérkezik	m e ɡ e r k e z i k
mutatkozott	m u t a t k o z o t
por	p o r
rita	ɽ i t a
tartalék	t a r t a l e k
gramm	ɡ r a m
hallgass	h a l ɡ a s
kun	k u n
lakik	l á k ì k
menekült	m e n e k y l t
not	n o t
parancsnok	p a r a n t͡s s n o k
tanított	t a n i t o t
táncos	t á n t͡ʃ o s
dark	d a r k
döntetlen	d ø n t e t l e n
hallgat	h a l ɡ a t
lányokat	l áː ɲ o k á t
nevezzük	n e v e z z y k
okokból	o k o k b ó l
tiltott	t i l t o t
tünetek	t y n e t e k
viselni	ʋ i s æ l n iː
hagyták	h á ɡ y t á k
hihetetlenül	h i h e t e t l e n y l
ket	k é t
nyomozó	ɲ o m o z óː
törött	t ø r ø t
ötlete	ø t l e t e
ötletet	ø t l e t e t
fogott	f ó ɡ o t
helyzetét	h e l y z e t eː t
hiányzol	h i áː n y z o l
lent	l ɛ n t
let	l e t
nel	n æ l
nevezték	n e v e z t e k
vélemények	v e l e m e ɲ e k
örül	ø r y l
bázis	b áː z i s
ehelyett	e h e l j e t
fedett	f e d e t
kat	k a t
könyörgöm	k ø n j ø r ɡ ø m
elizabeth	e l i z a b e t
emeltek	e m e l t e k
minimális	m i n i m áː l i s
párizs	p áː r i s
ötös	ø t ø s
körös	k ø r ø s
küldi	k y l d i
may	m â j
diéta	d i eː t a
konyhai	k ó n j h á i
köd	k ø d
küzdött	k y z d ø t
polgármesteri	p o l ɡ a r m e s t e r i
rákos	r áː k o s
demokrata	d e m o k r a t a
esetek	e s e t e k
hívjon	h iː v j o n
füst	f y s t
hali	h áː l iː
hazug	h á z ù ɡ
hitt	h i t
különbözik	k y l ø n b ø z i k
lehetnék	l e h e t n e k
phil	pʰ i l
son	s o n
sírt	s i r t
ugrott	ù ɡ r o t
örökös	ø r ø k ø s
christian	k r i s t i a n
hun	h u n
mutatták	m u t a t t a k
okt	o k t
problémákat	p r o b l e m á k a t
sa	s a
set	s e t
szt	ʃ t
sütit	s y t i t
valentin	v a l e n t i n
börtön	b ø r t ø n
evangélikus	e v a n ɡ e l i k u s
legyetek	l e ɡ j e t e k
megöltek	m e ɡ ø l t e k
megölték	m e ɡ ø l t e k
mesék	m e s e k
meséltem	m e s e l t e m
rohadtul	r o h a d t u l
örökség	ø r ø k s e ɡ
ütközött	y t k ø z ø t
fideszes	f i d e s z e s
közölt	k ø z ø l t
nyaralás	ɲ a r a l á s
vonultak	v o n u l t a k
ak	a k
fizetnek	f i z e t n e k
fordulnak	f o r d u l n a k
férfinak	f e r f i n a k
hé	h eː
kommunizmus	k o mː u n i z m u s
nézzetek	n e z z e t e k
reagál	r e a ɡ á l
ötletek	ø t l e t e k
egzotikus	e ɡ z o t i k u s
elnököt	e l n ø k ø t
felejtsük	f e l e j t͡s y k
hirdetett	h i r d e t e t
kijött	k i d ʒ ø t
küldök	k y l d ø k
lehettek	l e h e t t e k
napban	n á p b à n
nathan	n á t h à n
nyomorult	ɲ o m o r u l t
saint	s a i n t
adatbázis	a d a t b áː z i s
elesett	e l e s e t
ezekhez	e z e kʰ e z
foglalkoznak	f o ɡ l a l k o z n a k
görögök	ɡ ø r ø ɡ ø k
halottak	h a l o t t a k
hargita	h a r ɡ i t a
kiadások	k i a d áː s o k
közeleg	k ø z e l e ɡ
lost	l o s t
mesélte	m e s e l t e
életük	e l e t y k
eltört	e l t ø r t
folyosón	f o l j o s o n
hozom	h óː z o m
ik	i k
int	i n t
kezdd	k ɛ z d
köteles	k ø t e l e s
köti	k ø t i
építették	e p i t e t t e k
holt	h o l t
il	i l
ker	k æ r
küzd	k y z d
milyenek	m i l j e n e k
net	n e t
tartalmaznak	t a r t a l m a z n a k
tömör	t ø m ø r
építettek	e p i t e t t e k
bumm	b u m
kifizetni	k i f i z e t n i
nyitotta	ɲ i t o t t a
nyitottak	ɲ i t o t t a k
nyomást	ɲ o m á s t
törökök	t ø r ø k ø k
zala	z áː l àː
értitek	e r t i t e k
alonso	a l óː n s o
kapcsolatokat	k a p t͡ʃ s o l a t o k a t
kifinomult	k i f i n o m u l t
ko	k o
menekül	m e n e k y l
nyaklánc	ɲ a k l á n t͡ʃ
valencia	v a l e n t͡ʃ i a
zoe	z óː e
ék	e k
üdvözöljük	y d v ø z ø l j y k
üzletben	y z l e t b e n
fények	f e ɲ e k
harcolt	h a r t͡ʃ o l t
ismeretek	i s m e r e t e k
jöhetnek	j ø h e t n e k
legénység	l e ɡ e n y s eː ɡ
um	u m
balett	b a l e t
domináns	d o m i n á n s
estek	e s t e k
ezekről	e z e k r ɔː l
feleségének	f e l e s e ɡ e n e k
fokozott	f o k o z o t
ke	k e
kikapott	k i k a p o t
akciók	a k t͡ʃ i ó k
kialakulását	k i a l a k u l áː s aː t
kori	k óː r ìː
körök	k ø r ø k
munkához	m u n k áː h o z
nyrt	n y r t
ob	o b
om	o m
putyin	p u t j í n
segítettek	s e ɡ i t e t t e k
telefonos	t e l e f oː n o s
töltés	t ø l t e s
üzenetek	y z e n e t e k
bit	b i t
but	b u t
holott	h o l o t
küldöm	k y l d ø m
leírt	l e i r t
munkások	m u n k áː s o k
toll	t o l
örökbe	ø r ø k b e
dolgozok	d o l ɡ o z o k
dunai	d u n á i
falut	f á l u t
királyok	k i r áː l j o k
mutattak	m u t a t t a k
republikánus	r e p u b l i k áː n u s
stan	s t a n
ann	a n
boldogok	b o l d o ɡ o k
bízott	b i z o t
feltöltött	f e l t ø l t ø t
folt	f o l t
harcosok	h a r t͡ʃ o s o k
kövess	k ø v e s
köz	k ø z
nyeri	ɲ éː ɽ ìː
pet	p e t
süt	s y t
örültem	ø r y l t e m
evett	e v e t
füstölt	f y s t ø l t
hatások	h a t áː s o k
helyzetek	h e l y z e t e k
következőket	k ø v e t k e z øː k e t
noémi	n o eː m íː
roll	r o l
röplabda	r ø p l a b d a
tehetnek	t e h e t n e k
vitaminok	ʋ i t a m i n o k
zita	z i t a
ét	e t
ölte	ø l t e
aláírt	a l áː i r t
felügyelet	f e l y ɡ j e l e t
hallgatott	h a l ɡ a t o t
hozzuk	h ó z z u k
kalandos	k a l á n d o s
katalán	k a t a l á n
kezdeményezett	k e z d e m e ɲ e z e t
lo	l o
original	o r i ɡ i n aː l
pite	p i t e
támadások	t áː m a d áː s o k
önöket	ø n ø k e t
dolognak	d o l o ɡ n a k
döntenek	d ø n t e n e k
fizetek	f i z e t e k
férfiaknak	f e r f i a k n a k
hibákat	h ì b áː k à t
kiment	k i m é n t
közli	k ø z l i
okoztak	o k o z t a k
palacsinta	p a l a t͡ʃ s i n t a
raktam	r a k t a m
rekordot	r e k o r d o t
tudnának	t u d n áː n a k
ur	u r
app	a p
felügyelete	f e l y ɡ j e l e t e
gázt	ɡ á z t
harold	h a r o l d
kanál	k a n á l
robinson	r o b i n s o n
telepített	t e l e p i t e t
christina	k r i s t i n a
egyezik	e ɡ j e z i k
hibák	h ì b á k
okostelefon	o k o s t e l e f o n
plüss	p l y s
swift	s w i f t
sül	s y l
üzletek	y z l e t e k
arcán	a r t͡ʃ á n
hans	h â n s
kialakulása	k i a l a k u l áː s a
lánc	l á n t͡ʃ
mek	m e k
neveznek	n e v e z n e k
protokoll	p r o t o k o l
sakk	s a k
split	s p l i t
tehetek	t e h e t e k
tudnák	t u d n á k
tulajdonosok	t u l a j d o n o s o k
töltöttek	t ø l t ø t t e k
vonult	v o n u l t
budaörs	b u d a ø r s
cpu	t͡ʃ p u
döntetlent	d ø n t e t l e n t
farkasok	f a r k a s o k
fül	f y l
haltak	h a l t a k
kislányt	k i s l áː n y t
kk	k eː k eː
kritikusok	k r i t i k u s o k
melegek	m e l e ɡ e k
má	m áː
oktatása	o k t a t áː s a
stílusos	s t iː l u s o s
tökös	t ø k ø s
ölt	ø l t
öltözött	ø l t ø z ø t
üzletet	y z l e t e t
analóg	a n a l óː ɡ
biztosak	b i z t o s a k
dolgozol	d o l ɡ o z o l
férfiakat	f e r f i a k a t
gi	ɡ i
globe	ɡ l óː b e
hölgynek	h ø l ɡ y n e k
im	i m
klubot	k l ú b o t
kommunisták	k o m m u n i s t aː k
küldd	k y l d
mozaik	m o z a i k
nyomozók	ɲ o m o z ó k
sztárok	ʃ t áː r o k
totális	t o t áː l i s
tömegek	t ø m e ɡ e k
weboldalak	w e b o l d a l a k
évf	e f
öböl	ø b ø l
öltek	ø l t e k
bi	b i
blogot	b l óː ɡ o t
elérkezett	e l e r k e z e t
fogyott	f ó ɡ j o t
kent	k ɛ n t
küldenek	k y l d e n e k
lak	l a k
lé	l eː
neveztek	n e v e z t e k
pöcs	p ø k s
uralkodik	u r a l k o d i k
utazások	u t a z áː s o k
bukkant	b u k k a n t
dunán	d u n á n
egyiptom	e ɡ j i p t o m
kapcsolódnak	k a p t͡ʃ s o l o d n a k
kaphatnak	k a pʰ a t n a k
megnéztük	m e ɡ n e z t y k
nyomott	ɲ o m o t
szőrös	ʃ øː r ø s
tükörbe	t y k ø r b e
aids	a i d s
bel	b ê l
eltöltött	e l t ø l t ø t
hölgyet	h ø l ɡ j e t
kek	k é k
követtek	k ø v e t t e k
lenti	l é n t i
lux	l u k s
töltik	t ø l t i k
vonattal	v o n a t t a l
ötletnek	ø t l e t n e k
alkalmasak	a l k a l m a s a k
elkötelezett	e l k ø t e l e z e t
erotikus	e ɾ o t i k u s
figyelek	f i ɡ j e l e k
fordultak	f o r d u l t a k
hatvanas	h a t v a n a s
igazságos	i ɡ a z s áː ɡ o s
kötöttek	k ø t ø t t e k
people	p e o p l e
sonic	s óː n i t͡ʃ
tartalommal	t a r t a l o m m a l
tevékenységének	t e v e k e n y s e ɡ e n e k
töltöm	t ø l t ø m
érsek	e r s e k
örömteli	ø r ø m t e l i
egyesületi	e ɡ j e s y l e t i
hord	h o r d
költözik	k ø l t ø z i k
mu	m u
öl	ø l
child	t͡ʃ i l d
fizettek	f i z e t t e k
kinizsi	k i n í z s i
következmények	k ø v e t k e z m e ɲ e k
lift	l i f t
mozifilm	m o z i f i l m
puszit	p u s z i t
tanulnak	t a n u l n a k
tartozol	t a r t o z o l
und	u n d
wes	w e s
bin	b i n
egyetemista	e ɡ j e t e m i s t a
fincsi	f í n t͡ʃ s i
frost	f r o s t
halhatatlan	h a l h a t a t l a n
hallgatok	h a l ɡ a t o k
kitart	k i t a r t
legális	l e ɡ áː l i s
megromlott	m e ɡ r o m l o t
melyeknek	m e l j e k n e k
pat	p a t
paula	p á u l àː
sebesült	s e b e s y l t
vírust	ʋ iː r u s t
alkalmanként	a l k a l m a n k e n t
egyek	e ɡ j e k
félt	f e l t
hatalommal	h a t a l o m m a l
iránta	i r á n t a
kihagytam	k i h á ɡ y t á m
nevetett	n e v e t e t
sztálin	ʃ t áː l i n
örülne	ø r y l n e
örült	ø r y l t
на	n a
doom	d oː m
farm	f a r m
fedeztek	f e d e z t e k
félix	f e l i k s
hasonlítanak	h a s o n l iː t a n a k
kuba	k ú b àː
következtetni	k ø v e t k e z t e t n i
közte	k ø z t e
po	p o
ro	ɽ oː
szenátus	ʃ e n áː t u s
sütött	s y t ø t
utazók	u t a z ó k
fedél	f e d e l
figyeltek	f i ɡ j e l t e k
foglalkoztam	f o ɡ l a l k o z t a m
hallgatnak	h a l ɡ a t n a k
kitalálta	k i t a l á l t a
kitaláltam	k i t a l á l t a m
képességek	k e p e s e ɡ e k
következnek	k ø v e t k e z n e k
különösebb	k y l ø n ø s e b
mid	m i d
mig	m î ɡ
temetkezési	t e m e t k e z eː s i
virgin	v i r ɡ i n
apostol	a p o s t o l
bükk	b y k
centrum	t͡ʃ ɛ n t r u m
cinema	t͡ʃ i n éː m a
elhagyatott	e l h a ɡ j a t o t
füle	f y l e
kapcsolatuk	k a p t͡ʃ s o l a t u k
kapcsolják	k a p t͡ʃ s o ʎ aː k
migránsok	m i ɡ r áː n s o k
panel	p a n æ l
ph	pʰ
sírtam	s i r t a m
tartottuk	t a r t o t t u k
törik	t ø r i k
történni	t ø r t e n n i
ütközés	y t k ø z e s
drogot	d r óː ɡ o t
feladatait	f e l a d a t a i t
megírta	m e ɡ i r t a
miattuk	m i a t t u k
mutáns	m u t á n s
stark	s t a r k
településeken	t e l e p y l e s e k e n
tipikusan	t i p i k u s a n
világunk	ʋ i l áː ɡ u ŋ k
örömet	ø r ø m e t
dolgait	d o l ɡ a i t
egyetemeken	e ɡ j e t e m e k e n
ist	i s t
kapcsolatai	k a p t͡ʃ s o l a t a i
kart	k a r t
kutyának	k u t j áː n a k
követnek	k ø v e t n e k
közlöny	k ø z l ø n y
különböznek	k y l ø n b ø z n e k
rovarok	r o v a r o k
still	s t i l
aláírta	a l áː i r t a
bizalmat	b i z a l m a t
foglaltak	f o ɡ l a l t a k
fán	f á n
kapun	k a p u n
kifolyólag	k i f o l j óː l a ɡ
kül	k y l
magasabbra	m a ɡ a s a b r a
nsa	n s a
patrik	p a t r i k
sokasága	s o k a s áː ɡ a
tartalmas	t a r t a l m a s
éreznek	e ɾ e z n e k
alkalmazottak	a l k a l m a z o t t a k
azokból	a z o k b ó l
egyesületek	e ɡ j e s y l e t e k
kan	k a n
matyi	m á t j ìː
nat	n a t
startup	s t a r t u p
tétlenül	t e t l e n y l
világok	ʋ i l áː ɡ o k
börtönt	b ø r t ø n t
dönti	d ø n t i
hagytál	h á ɡ y t á l
harckocsik	h a r t͡ʃ k o t͡ʃ s i k
helyiség	h e l j i s eː ɡ
igazolta	i ɡ a z o l t a
kitüntetett	k i t y n t e t e t
külgazdasági	k y l ɡ a z d a s áː ɡ i
megölnek	m e ɡ ø l n e k
mihamarabb	m i h a m a r a b
sek	s e k
törtek	t ø r t e k
win	w i n
befolyása	b e f o l j áː s a
bocsátott	b o k s á t o t
bokor	b óː k o r
bukkantak	b u k k a n t a k
cigaretta	t͡ʃ i ɡ a r e t t a
elött	e l ø t
feliratok	f e l i r a t o k
fizetik	f i z e t i k
foglalnak	f o ɡ l a l n a k
fontot	f ó n t o t
harcoltak	h a r t͡ʃ o l t a k
het	h e t
krumplit	k r u m p l i t
kötnek	k ø t n e k
marx	m a r k s
megöltem	m e ɡ ø l t e m
mozgott	m o z ɡ o t
mögül	m ø ɡ y l
nyomban	ɲ ó m b à n
problémákkal	p r o b l e m á k k a l
pánik	p áː n i k
six	s i k s
tanulmányokat	t a n u l m á ɲ o k a t
telefonok	t e l e f o n o k
titkai	t i t k á i
törés	t ø r e s
értelek	e r t e l e k
alakítottak	a l a k i t o t t a k
bolygók	b o l y ɡ ó k
filmnek	f i l m n e k
kill	k i l
közalkalmazottak	k ø z a l k a l m a z o t t a k
közoktatási	k ø z o k t a t áː s i
mé	m e
olimpikonok	o l i m p i k o n o k
sin	s i n
sorozatokban	s o r o z a t o k b a n
vonatkoznak	v o n a t k o z n a k
örökölte	ø r ø k ø l t e
akárhol	a k á r h o l
bá	b áː
eseménynek	e s e m e n y n e k
foglalkoztak	f o ɡ l a l k o z t a k
kidobott	k i d o b o t
lakk	l a k
megegyeznek	m e ɡ e ɡ j e z n e k
megegyezés	m e ɡ e ɡ j e z e s
meztelenül	m e z t e l e n y l
másutt	m áː s u t
pi	p i
tartozék	t a r t o z e k
igazgatási	i ɡ a z ɡ a t áː s i
kedvesek	k e d v e s e k
kinyitottam	k i ɲ i t o t t a m
switch	s w i t͡ʃ
érezték	e ɾ e z t e k
üzenetét	y z e n e t eː t
aláírása	a l áː i r áː s a
egyetemek	e ɡ j e t e m e k
egyiknek	e ɡ j i k n e k
felépített	f e l e p i t e t
fokkal	f o k k a l
honor	h óː n o r
lakóinak	l a k ó i n a k
megoldott	m e ɡ o l d o t
tek	t e k
tudomásul	t u d o m áː s u l
ámde	á m d èː
dik	d i k
dolgozzon	d o l ɡ o z o n
eladók	e l a d ó k
feltöltés	f e l t ø l t e s
feminista	f e m i n i s t a
futottak	f u t o t t a k
holnapután	h o l n a p u t á n
hüvelyk	h y v e l y k
katonaság	k a t o n a s á ɡ
küzdenek	k y z d e n e k
mechanizmus	m e t͡ʃ a n i z m u s
megölik	m e ɡ ø l i k
optimista	o p t i m i s t a
tehetik	t e h e t i k
yale	j áː l èː
építmények	e p i t m e ɲ e k
cliff	k l i f
fagyi	f á ɡ j ìː
felügyeleti	f e l y ɡ j e l e t i
jelölés	j e l ø l e s
kötik	k ø t i k
köztes	k ø z t e s
küldik	k y l d i k
monte	m ó n t e
munkáit	m u n k á i t
programozási	p r o ɡ r a m o z áː s i
tanulási	t a n u l áː s i
temették	t e m e t t e k
tömött	t ø m ø t
átvett	a t v e t
cal	t͡ʃ æ l
circus	t͡ʃ í r t͡ʃ u s
fagyos	f á ɡ j o s
feladatuk	f e l a d a t u k
felelek	f e l e l e k
fun	f u n
halkan	h a l k a n
helytörténeti	h e l y t ø r t e n e t i
hibázott	h i b áː z o t
kedvencek	k e d v e n t͡ʃ e k
kidolgozása	k i d o l ɡ o z aː s a
költöztek	k ø l t ø z t e k
megismerte	m e ɡ i s m e r t e
must	m u s t
powell	p o w e l
sap	s a p
szabályozása	ʃ a b a l j o z aː s a
tartalmazott	t a r t a l m a z o t
törnek	t ø r n e k
törzsi	t ø r z s i
vulkán	v u l k á n
örömöt	ø r ø m ø t
ötöst	ø t ø s t
doo	d oː
felületén	f e l y l e t e n
hímzett	h i m z e t
kinti	k í n t i
körét	k ø r e t
közlekednek	k ø z l e k e d n e k
op	o p
pilot	p i l o t
slim	s l iː m
sunday	s ù n d â j
tekintette	t e k i n t e t t e
töltenek	t ø l t e n e k
örs	ø r s
üt	y t
adományozott	a d o m áː ɲ o z o t
aranyosak	a r a ɲ o s a k
erotika	e ɾ o t i k a
fehérvári	f e h e r v áː r i
gif	ɡ i f
hart	h a r t
hatalmasat	h a t a l m a s a t
höz	h ø z
körülöttem	k ø r y l ø t t e m
vírusok	ʋ iː r u s o k
éreztük	e ɾ e z t y k
öntött	ø n t ø t
önöknek	ø n ø k n e k
üdvözlet	y d v ø z l e t
ap	a p
csoportokban	k s o p o r t o k b a n
címzett	t͡ʃ i m z e t
glen	ɡ l eː n
hordott	h o r d o t
katt	k a t
koktélt	k o k t e l t
költöztetés	k ø l t ø z t e t e s
met	m e t
nyilatkozata	ɲ i l a t k o z a t a
nyomokat	ɲ o m o k á t
népének	n e p e n e k
olt	o l t
orvosnak	o r v o s n a k
pina	p i n a
repülnek	r e p y l n e k
said	s a i d
tudása	t u d áː s a
biztosnak	b i z t o s n a k
botrányt	b o t r áː n y t
bázist	b áː z i s t
hatos	h á t o s
humanitárius	h u m a n i t áː r i u s
irodalmat	i r o d a l m a t
sorozatokat	s o r o z a t o k a t
társadalmat	t a r s a d a l m a t
uralkodott	u r a l k o d o t
vetített	v e t i t e t
biztosítottak	b i z t o s i t o t t a k
botrányos	b o t r áː n j o s
duran	d u r a n
elhelyezve	e l h e l j e z v e
felületi	f e l y l e t i
göndör	ɡ ø n d ø r
hindu	h í n d u
hölgyeknek	h ø l ɡ j e k n e k
kifogytam	k i f ó ɡ y t á m
kisfilm	k i s f i l m
klikk	k l i k
késéssel	k e s e s e l
megérkeznek	m e ɡ e r k e z n e k
megírtam	m e ɡ i r t a m
mák	m á k
piknik	p í k n i k
rövidített	r ø v i d i t e t
segítették	s e ɡ i t e t t e k
spanyolok	s p a ɲ o l o k
vehetnek	v e h e t n e k
étkezés	e t k e z e s
buenos	b u eː n o s
dia	d i a
keletkeznek	k e l e t k e z n e k
lokális	l o k áː l i s
nee	n eː
nikolett	n i k o l e t
szakosodott	ʃ a k o s o d o t
